_id,name,email,role,department,designation,createdAt,__v
670627fde88879333ce6f7b7,Michael Ferguson,gutierrezbrett@example.net,employee,IT,Junior IT Engineer,2024-01-13,0
670627fde88879333ce6f7b8,Nancy Giles,nunezmiranda@example.net,employee,Engineering,Junior Engineering Engineer,2024-06-16,1
670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,employee,IT,Senior IT Engineer,2024-02-15,1
670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,admin,IT,Senior IT Engineer,2024-07-18,1
670627fde88879333ce6f7bb,Tony Chaney,dakota37@example.org,admin,IT,Junior IT Engineer,2024-05-05,1
670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-09,1
670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,employee,IT,Senior IT Engineer,2024-09-03,1
670627fde88879333ce6f7be,Elizabeth Mitchell,martinezmichael@example.net,admin,IT,Senior IT Engineer,2024-01-22,1
670627fde88879333ce6f7bf,Timothy Dillon,barreraarthur@example.net,employee,IT,Junior IT Engineer,2024-08-30,1
670627fde88879333ce6f7c0,Michael Summers,rachelhernandez@example.org,admin,IT,Senior IT Engineer,2024-05-07,1
670627fde88879333ce6f7c1,Karen Martin,bwhitaker@example.com,admin,Engineering,Senior Engineering Engineer,2024-04-09,1
670627fde88879333ce6f7c2,Andrew Miller,susan37@example.net,admin,IT,Senior IT Engineer,2024-07-20,1
670627fde88879333ce6f7c3,Jerome Brown,mmaxwell@example.net,employee,IT,Senior IT Engineer,2024-07-28,1
670627fde88879333ce6f7c4,Stephanie Nelson,regina42@example.com,admin,Engineering,Junior Engineering Engineer,2024-09-06,1
670627fde88879333ce6f7c5,Alan Davis,yhardy@example.org,employee,Engineering,Junior Engineering Engineer,2024-01-28,0
670627fde88879333ce6f7c6,Adriana Woods,jose76@example.net,admin,IT,Senior IT Engineer,2024-02-10,1
670627fde88879333ce6f7c7,Geoffrey Banks,edward18@example.com,employee,Engineering,Junior Engineering Engineer,2024-01-13,0
670627fde88879333ce6f7c8,Melissa Wallace,christine26@example.com,employee,Engineering,Senior Engineering Engineer,2024-06-26,0
670627fde88879333ce6f7c9,Elizabeth Blevins,ccarter@example.org,employee,IT,Junior IT Engineer,2024-06-30,1
670627fde88879333ce6f7ca,Sara Harris,michaelhanna@example.net,admin,IT,Senior IT Engineer,2024-04-20,1
670627fde88879333ce6f7cb,James Torres,millerjoseph@example.com,admin,IT,Junior IT Engineer,2024-09-16,1
670627fde88879333ce6f7cc,Kimberly Hodge,ujohnson@example.net,employee,IT,Junior IT Engineer,2024-08-15,0
670627fde88879333ce6f7cd,Sherry Bartlett,veronicacampbell@example.com,admin,IT,Junior IT Engineer,2024-09-02,0
670627fde88879333ce6f7ce,Kaitlin Braun,cynthiadean@example.com,employee,Engineering,Senior Engineering Engineer,2024-08-05,1
670627fde88879333ce6f7cf,Timothy Kennedy,julie25@example.com,employee,IT,Senior IT Engineer,2024-09-22,0
670627fde88879333ce6f7d0,Frederick Smith,murphyjohn@example.com,admin,IT,Senior IT Engineer,2024-06-12,1
670627fde88879333ce6f7d1,William Hernandez,zdavis@example.org,employee,IT,Junior IT Engineer,2024-08-09,0
670627fde88879333ce6f7d2,Corey Velazquez,randallsimon@example.net,admin,Engineering,Junior Engineering Engineer,2024-02-27,0
