_id,name,email,password,role,department,designation,createdAt,__v
670627fde88879333ce6f7b7,Michael Ferguson,gutierrezbrett@example.net,3(v(5ByImJ,employee,IT,Junior IT Engineer,2024-01-13,0
670627fde88879333ce6f7b8,Nancy Giles,nunezmiranda@example.net,%5vD1!Bev@,employee,Engineering,Junior Engineering Engineer,2024-06-16,1
670627fde88879333ce6f7b9,Destiny Scott,brittany95@example.com,l5fSXpJD*&,employee,IT,Senior IT Engineer,2024-02-15,1
670627fde88879333ce6f7ba,Jasmine Floyd,taylorcobb@example.com,A6&+VltT$u,admin,IT,Senior IT Engineer,2024-07-18,1
670627fde88879333ce6f7bb,Tony Chaney,dakota37@example.org,s#VlPcDs^1,admin,IT,Junior IT Engineer,2024-05-05,1
670627fde88879333ce6f7bc,Katelyn Sanchez,mendezrobert@example.com,_l9krLnM@0,employee,Engineering,Senior Engineering Engineer,2024-08-09,1
670627fde88879333ce6f7bd,David Rivera,ygarcia@example.net,0#1oDTbqAx,employee,IT,Senior IT Engineer,2024-09-03,1
670627fde88879333ce6f7be,Elizabeth Mitchell,martinezmichael@example.net,Gnl45Pz5^d,admin,IT,Senior IT Engineer,2024-01-22,1
670627fde88879333ce6f7bf,Timothy Dillon,barreraarthur@example.net,40F_%9KkPA,employee,IT,Junior IT Engineer,2024-08-30,1
670627fde88879333ce6f7c0,Michael Summers,rachelhernandez@example.org,^Fc!4qSC1b,admin,IT,Senior IT Engineer,2024-05-07,1
670627fde88879333ce6f7c1,Karen Martin,bwhitaker@example.com,d$vAMZ9p(5,admin,Engineering,Senior Engineering Engineer,2024-04-09,1
670627fde88879333ce6f7c2,Andrew Miller,susan37@example.net,_4i+BYRiDM,admin,IT,Senior IT Engineer,2024-07-20,1
670627fde88879333ce6f7c3,Jerome Brown,mmaxwell@example.net,&VmHMxj@5G,employee,IT,Senior IT Engineer,2024-07-28,1
670627fde88879333ce6f7c4,Stephanie Nelson,regina42@example.com,KS80FrCo8*,admin,Engineering,Junior Engineering Engineer,2024-09-06,1
670627fde88879333ce6f7c5,Alan Davis,yhardy@example.org,+9NI&yIxpX,employee,Engineering,Junior Engineering Engineer,2024-01-28,0
670627fde88879333ce6f7c6,Adriana Woods,jose76@example.net,B^5L!n4(MZ,admin,IT,Senior IT Engineer,2024-02-10,1
670627fde88879333ce6f7c7,Geoffrey Banks,edward18@example.com,&h99c%Hh&m,employee,Engineering,Junior Engineering Engineer,2024-01-13,0
